"","V1","V2","V3","V4","V5"
"V1",1,0,0,0,0
"V2",2,0,0,0,0
"V3",0,1,0,0,0
"V4",0,2,0,0,0
"V5",0,0,1,0,0
"V6",0,0,2,0,0
"V7",0,0,0,1,0
"V8",0,0,0,2,0
"V9",0,0,0,0,1
"V10",0,0,0,0,2
"Z",1,1,0,0,0
"Z",1,2,0,0,0
"Z",1,0,1,0,0
"Z",1,0,2,0,0
"Z",1,0,0,1,0
"Z",1,0,0,2,0
"Z",1,0,0,0,1
"Z",1,0,0,0,2
"Z",2,1,0,0,0
"Z",2,2,0,0,0
"Z",2,0,1,0,0
"Z",2,0,2,0,0
"Z",2,0,0,1,0
"Z",2,0,0,2,0
"Z",2,0,0,0,1
"Z",2,0,0,0,2
"Z",0,1,1,0,0
"Z",0,1,2,0,0
"Z",0,1,0,1,0
"Z",0,1,0,2,0
"Z",0,1,0,0,1
"Z",0,1,0,0,2
"Z",1,1,1,0,0
"Z",1,1,2,0,0
"Z",1,1,0,1,0
"Z",1,1,0,2,0
"Z",1,1,0,0,1
"Z",1,1,0,0,2
"Z",2,1,1,0,0
"Z",2,1,2,0,0
"Z",2,1,0,1,0
"Z",2,1,0,2,0
"Z",2,1,0,0,1
"Z",2,1,0,0,2
"Z",0,2,1,0,0
"Z",0,2,2,0,0
"Z",0,2,0,1,0
"Z",0,2,0,2,0
"Z",0,2,0,0,1
"Z",0,2,0,0,2
"Z",1,2,1,0,0
"Z",1,2,2,0,0
"Z",1,2,0,1,0
"Z",1,2,0,2,0
"Z",1,2,0,0,1
"Z",1,2,0,0,2
"Z",2,2,1,0,0
"Z",2,2,2,0,0
"Z",2,2,0,1,0
"Z",2,2,0,2,0
"Z",2,2,0,0,1
"Z",2,2,0,0,2
"Z",0,0,1,1,0
"Z",0,0,1,2,0
"Z",0,0,1,0,1
"Z",0,0,1,0,2
"Z",1,0,1,1,0
"Z",1,0,1,2,0
"Z",1,0,1,0,1
"Z",1,0,1,0,2
"Z",2,0,1,1,0
"Z",2,0,1,2,0
"Z",2,0,1,0,1
"Z",2,0,1,0,2
"Z",0,1,1,1,0
"Z",0,1,1,2,0
"Z",0,1,1,0,1
"Z",0,1,1,0,2
"Z",1,1,1,1,0
"Z",1,1,1,2,0
"Z",1,1,1,0,1
"Z",1,1,1,0,2
"Z",2,1,1,1,0
"Z",2,1,1,2,0
"Z",2,1,1,0,1
"Z",2,1,1,0,2
"Z",0,2,1,1,0
"Z",0,2,1,2,0
"Z",0,2,1,0,1
"Z",0,2,1,0,2
"Z",1,2,1,1,0
"Z",1,2,1,2,0
"Z",1,2,1,0,1
"Z",1,2,1,0,2
"Z",2,2,1,1,0
"Z",2,2,1,2,0
"Z",2,2,1,0,1
"Z",2,2,1,0,2
"Z",0,0,2,1,0
"Z",0,0,2,2,0
"Z",0,0,2,0,1
"Z",0,0,2,0,2
"Z",1,0,2,1,0
"Z",1,0,2,2,0
"Z",1,0,2,0,1
"Z",1,0,2,0,2
"Z",2,0,2,1,0
"Z",2,0,2,2,0
"Z",2,0,2,0,1
"Z",2,0,2,0,2
"Z",0,1,2,1,0
"Z",0,1,2,2,0
"Z",0,1,2,0,1
"Z",0,1,2,0,2
"Z",1,1,2,1,0
"Z",1,1,2,2,0
"Z",1,1,2,0,1
"Z",1,1,2,0,2
"Z",2,1,2,1,0
"Z",2,1,2,2,0
"Z",2,1,2,0,1
"Z",2,1,2,0,2
"Z",0,2,2,1,0
"Z",0,2,2,2,0
"Z",0,2,2,0,1
"Z",0,2,2,0,2
"Z",1,2,2,1,0
"Z",1,2,2,2,0
"Z",1,2,2,0,1
"Z",1,2,2,0,2
"Z",2,2,2,1,0
"Z",2,2,2,2,0
"Z",2,2,2,0,1
"Z",2,2,2,0,2
"Z",0,0,0,1,1
"Z",0,0,0,1,2
"Z",1,0,0,1,1
"Z",1,0,0,1,2
"Z",2,0,0,1,1
"Z",2,0,0,1,2
"Z",0,1,0,1,1
"Z",0,1,0,1,2
"Z",1,1,0,1,1
"Z",1,1,0,1,2
"Z",2,1,0,1,1
"Z",2,1,0,1,2
"Z",0,2,0,1,1
"Z",0,2,0,1,2
"Z",1,2,0,1,1
"Z",1,2,0,1,2
"Z",2,2,0,1,1
"Z",2,2,0,1,2
"Z",0,0,1,1,1
"Z",0,0,1,1,2
"Z",1,0,1,1,1
"Z",1,0,1,1,2
"Z",2,0,1,1,1
"Z",2,0,1,1,2
"Z",0,1,1,1,1
"Z",0,1,1,1,2
"Z",1,1,1,1,1
"Z",1,1,1,1,2
"Z",2,1,1,1,1
"Z",2,1,1,1,2
"Z",0,2,1,1,1
"Z",0,2,1,1,2
"Z",1,2,1,1,1
"Z",1,2,1,1,2
"Z",2,2,1,1,1
"Z",2,2,1,1,2
"Z",0,0,2,1,1
